category_id,views,likes,dislikes,comment_count,category
23,0.006241738,0.034464724,0.001797456,17846,Comedy
23,0.00379465,0.010416067,0.000430341,3294,Comedy
23,0.00651296,0.006329194,0.00087662,2388,Comedy
23,0.001089118,0.002517356,0.000408746,666,Comedy
23,0.003540345,0.003672717,0.000312087,2676,Comedy
10,0.048380266,0.149744907,0.024532499,124236,Music
23,0.001043518,0.004814185,0.000252446,746,Comedy
23,0.010191217,0.029871957,0.003460206,9265,Comedy
23,0.000695107,0.000864651,0.000739857,1267,Comedy
23,0.000801006,0.005803528,0.000208229,3215,Comedy
10,3.63E-05,1.03E-05,8.38E-05,46,Music
23,0.002316038,0.010863178,0.000297177,3837,Comedy
23,0.000186388,0.000142683,8.74E-06,93,Comedy
10,0.00454113,0.010006543,0.002213401,2822,Music
23,0.002331688,0.015256794,0.000660164,2266,Comedy
23,0.001603349,0.006574837,0.000482269,1510,Comedy
23,0.00823732,0.035572703,0.005420646,27744,Comedy
10,0.007453602,0.0115456,0.000944487,3928,Music
10,0.013605824,0.049562625,0.004762025,29761,Music
23,0.000872255,0.000517294,0.00022571,1512,Comedy
10,0.000145242,6.68E-05,1.49E-05,283,Music
10,0.092057794,0.306632891,0.011895807,90352,Music
10,0.001908933,0.003383788,0.000536769,899,Music
23,0.000313818,0.001792895,4.94E-05,595,Comedy
23,0.000441717,0.001660721,4.42E-05,350,Comedy
23,0.001320431,0.00322151,9.25E-05,5465,Comedy
23,0.000940724,0.001111541,0.000167612,287,Comedy
23,0.001232076,0.003455397,0.000122367,3140,Comedy
23,0.001337183,0.007707576,0.002076124,2872,Comedy
23,0.00095595,0.005409679,0.0004761,4523,Comedy
10,0.000587975,0.001005019,7.04E-05,1041,Music
23,0.000467682,0.000197726,0.000200003,1020,Comedy
23,0.00043612,0.002653448,3.34E-05,835,Comedy
23,0.001641862,0.010078508,0.000157843,5556,Comedy
23,0.000421931,0.002513793,0.000123395,2245,Comedy
10,0.002862773,0.003321442,0.00035836,419,Music
23,0.002026825,0.017550594,0.000411831,11224,Comedy
23,7.24E-05,1.43E-05,2.31E-05,9,Comedy
23,0.000351019,0.000467417,3.44E-05,194,Comedy
10,0.003934908,0.008312689,0.000349105,2595,Music
10,0.003680213,0.009033054,0.000515175,1246,Music
23,0.001242666,0.006875345,0.000213885,1422,Comedy
10,0.030561261,0.038533428,0.009126614,12133,Music
10,0.000199011,0.000772735,0.000137791,333,Music
