,category_id,views,likes,dislikes,comment_count,category
187,23,0.0009121286548146913,0.0017481835475158035,0.0034555785150524095,2382,Comedy
194,23,2.336653355790488e-05,5.8783428844529765e-06,3.393366790558831e-05,7,Comedy
197,23,0.0005557159976392734,0.005235109667611774,6.221172449357856e-05,3336,Comedy
200,23,0.006241738166708651,0.0344647243315478,0.0017974561060293444,17846,Comedy
202,23,0.0037946496738890494,0.010416067328045555,0.00043034060662086994,3294,Comedy
203,23,0.00651295955178843,0.006329193970530264,0.000876619754227698,2388,Comedy
205,23,0.0010891183690291484,0.0025173558073663476,0.00040874645431731373,666,Comedy
207,20,0.0010480220070347164,0.0015989092645712097,6.735318932775862e-05,466,Gaming
213,23,0.0035403454706654076,0.003672717381565196,0.00031208691543472883,2676,Comedy
216,23,0.001043518296131217,0.004814184690764428,0.0002524459233582403,746,Comedy
219,23,0.0101912170358895,0.029871957222764436,0.0034602058334031716,9265,Comedy
221,23,0.0006951072634009809,0.0008646507988222651,0.0007398567896385088,1267,Comedy
222,23,0.0008010057125639131,0.00580352761137812,0.0002082293257842919,3215,Comedy
229,23,0.0023160380431192394,0.0108631776504691,0.00029717666741560674,3837,Comedy
232,23,0.00018638814857897733,0.00014268341364990407,8.74049021810608e-06,93,Comedy
237,23,0.002331687967409433,0.015256793627591303,0.000660164084708718,2266,Comedy
239,23,0.001603349347613803,0.006574837450459375,0.0004822694014460884,1510,Comedy
244,23,0.0082373202194631,0.03557270289946591,0.005420646374676023,27744,Comedy
266,23,0.0008722547959368472,0.000517294173831862,0.00022571030622050406,1512,Comedy
287,23,0.0003138181988762652,0.0017928945797581579,4.9358062408128454e-05,595,Comedy
293,23,0.00044171699314311195,0.0016607209306592455,4.4216597573948405e-05,350,Comedy
296,23,0.0013204305627710655,0.0032215100322827905,9.254636701524085e-05,5465,Comedy
297,20,7.923186383944017e-05,1.4784923012412032e-05,1.2339515602032113e-05,14,Gaming
301,23,0.0009407243924551111,0.0011115411999692902,0.00016761175359426953,287,Comedy
310,23,0.0012320758577552377,0.003455396826442995,0.00012236686305348512,3140,Comedy
317,23,0.0013371828598137893,0.007707576311133208,0.002076123500041903,2872,Comedy
321,23,0.0009559503272251009,0.005409678638119771,0.00047609964364507236,4523,Comedy
331,23,0.00046768164026093304,0.00019772607884069104,0.00020000298204960381,1020,Comedy
337,23,0.00043612033147642017,0.0026534483517215617,3.3419521422170306e-05,835,Comedy
339,23,0.0016418617290323255,0.010078507941195908,0.00015784297040932744,5556,Comedy
340,23,0.00042193081553359567,0.0025137931753151637,0.0001233951560203211,2245,Comedy
348,23,0.0020268253693988083,0.01755059427374588,0.00041183133321782175,11224,Comedy
355,20,0.0025646843417454937,0.01609258710679898,0.00032494057752017894,4634,Gaming
356,23,7.2375011098809e-05,1.4250528204734489e-05,2.3136591753810212e-05,9,Comedy
358,23,0.00035101856827949023,0.0004674173251152912,3.4447814389006316e-05,194,Comedy
372,23,0.0012426661737709977,0.0068753454639767135,0.00021388493710188994,1422,Comedy
386,20,0.00045327541856333764,0.0028969542524199623,8.68907556976428e-05,1870,Gaming
397,23,0.0019173960297315113,0.012656250361829817,0.0009280344025694985,12175,Comedy
399,23,0.0021006207453903004,0.02179440157311581,0.00023393664995519214,7459,Comedy
403,23,0.005238227992803343,0.013681753997763023,0.0006010372391156474,4176,Comedy
404,23,0.009049912623415252,0.007832802827732311,0.0011763671540603946,2854,Comedy
405,23,0.0027018779284941436,0.0056702851726638534,0.000977906611461045,1498,Comedy
407,23,0.006814750581274911,0.03615341192380884,0.0020051712853302183,18800,Comedy
409,20,0.0009774819283594565,0.0015474292314316062,4.267415812369439e-05,147,Gaming
411,20,0.001520360465525889,0.002055816825135509,0.00010591417558410897,734,Gaming
414,23,0.002384696079424261,0.003569044788875753,0.0033470936070512107,5153,Comedy
416,23,0.003419626232274014,0.002966603709020602,0.0004267415812369439,1632,Comedy
424,23,0.00277439898042769,0.03308954835979092,0.0007043806822826665,9801,Comedy
428,23,0.0014415525912066529,0.007953219791062317,0.0004046332824499697,4014,Comedy
434,23,0.001903712945715597,0.008806648298923355,0.0001305932067881732,54943,Comedy
436,23,0.001302067105551567,0.005801746295352529,0.00030128983928295075,819,Comedy
440,23,0.00036688755382178914,0.0002956984602482406,2.4164884720646222e-05,141,Comedy
444,23,0.0037942657278235313,0.015178237590862703,0.0004709581788108923,5001,Comedy
446,23,0.001314815057125698,0.0078529316988215,0.0002668420248939444,1951,Comedy
448,23,0.010778482564826613,0.03070614751754908,0.0035743463527219688,9440,Comedy
451,23,0.002255605403506174,0.0010007433431774794,0.0005804713797789273,2809,Comedy
455,23,0.002216892804814222,0.008180515715927834,0.0006473104226232679,1678,Comedy
468,23,0.00033942716589658195,0.001755665074823289,3.496196087242432e-05,1104,Comedy
474,20,0.0003508725274447533,0.0014357407166269997,4.4730744057366406e-05,1317,Gaming
478,23,0.0035074792163576007,0.020134749432071917,0.0009809914903615529,2853,Comedy
479,23,0.0022118402630317917,0.011535268186924892,0.00033265277477144905,1413,Comedy
487,23,8.243062921964528e-05,0.00010634456672783112,1.4910248019122136e-05,132,Comedy
500,20,0.0006185983544801836,0.0018947858564220094,9.357465998207685e-05,867,Gaming
505,23,1.8488298578225342e-05,7.303395704926425e-05,7.1980507678520656e-06,33,Comedy
517,23,0.0006699717513448918,0.0017766846039252724,6.889562877801263e-05,4362,Comedy
540,23,0.0015443606278667654,0.0018449090077054388,0.00014139028293995128,1383,Comedy
546,23,0.008467049518996256,0.036079843571951896,0.005492626882354544,11064,Comedy
547,23,0.000488325218900195,0.0023819757894213696,8.123514438004473e-05,683,Comedy
554,23,0.0006938918267763962,0.0021732055512220095,6.272587097699657e-05,420,Comedy
582,23,7.177907027318905e-05,0.00015782459986743446,7.1980507678520656e-06,58,Comedy
