,category_id,views,likes,dislikes,comment_count,country,category
362015,24,0.0012894863942881827,0.003231307270423545,8.226343734688075e-05,875,US,Entertainment
362016,24,0.002510668076871514,0.004885971726595779,0.00025758738819242036,2812,US,Entertainment
362020,24,0.011717362602868838,0.028679366143630716,0.0029969598518435493,14072,US,Entertainment
362021,10,0.03061041806556218,0.07027897368408396,0.0035856575753571646,63763,US,Music
362024,10,0.000703433946478319,0.003458068800481383,0.0001321356462384272,2108,US,Music
362028,24,0.010670709139785446,0.004689314437370443,0.001539868717836924,5156,US,Entertainment
362029,25,0.0020452029596023137,0.0033702499204197067,0.015675297986448126,31941,US,News & Politics
362034,24,0.0015430462603541332,0.0021634083130812544,0.00040309084299971565,1817,US,Entertainment
362035,24,0.003744183143498111,0.008261743726694819,0.000218512255452652,2344,US,Entertainment
362036,24,0.0011724841306905767,0.005410391164530008,0.00017275321842844958,3782,US,Entertainment
362039,25,0.0011351188764739393,0.0016076377130966094,0.0043579055934510075,5842,US,News & Politics
362040,25,0.0009805393638995937,0.003501354779903264,0.001547580915088194,2192,US,News & Politics
362044,10,0.0039406292656952585,0.01060862759041203,0.0008138938832507014,7505,US,Music
362045,24,0.0038158915488512657,0.007519825602035831,0.0008894734163131481,2705,US,Entertainment
362048,24,0.007214320660612418,0.012016936040244917,0.0036874585790739297,10602,US,Entertainment
362051,24,0.0017226435101178445,0.0012686532734264878,0.00030180398576636877,636,US,Entertainment
362052,10,0.01192358874999869,0.04656627288300833,0.0024457948216194485,14333,US,Music
362053,24,0.001131703405338963,0.003521127387787333,0.0001984605425993498,1341,US,Entertainment
362054,24,0.003645607935548034,0.004954017998773386,0.0003506479016910792,1358,US,Entertainment
362057,24,0.0015427141352299734,0.0003523443098620602,0.00017943712271288365,236,US,Entertainment
362060,10,0.009117027808966198,0.02610750206588126,0.0019146815042486495,9876,US,Music
362062,24,0.0023694371676915888,0.009237726777116572,0.000765564113809409,3865,US,Entertainment
362064,10,0.019831429068808658,0.08540216860975587,0.0022463059860532626,27044,US,Music
362067,24,0.008892793884714352,0.0010581017192015359,0.0010591417558410896,1969,US,Entertainment
362068,24,0.0030794288187490615,0.0027770716838976333,0.0009408880646549486,1803,US,Entertainment
362069,1,0.00027342377508750407,0.0017453334418748565,4.37024510905304e-05,610,US,Film & Animation
362070,10,0.015347763447625559,0.02448311998214409,0.0021275381483837033,5038,US,Music
362072,25,0.0014147164100750793,0.0007201860691467692,0.0001665834606274335,906,US,News & Politics
362073,24,0.00248266592455938,0.003592736292016124,0.0009599114845414147,1994,US,Entertainment
362074,10,0.0008484760503454107,0.001064158193688548,0.00022776689215417607,530,US,Music
362075,10,0.00044938413696679944,0.001199003816825848,5.809855262623453e-05,292,US,Music
362076,24,0.002283124678864743,0.0089491535809707,0.0009321475744368425,6960,US,Entertainment
362077,10,0.0012732428846697038,0.006087469385857455,0.00026581373192710844,1564,US,Music
362079,1,0.01215832583686492,0.0021534329433379406,0.001408761364565333,1670,US,Film & Animation
362082,24,0.004615728934737284,0.005986825030411518,0.0007912714379803092,2206,US,Entertainment
362085,1,0.0021855717567578247,0.0023294269666664113,0.0003069454506005488,1048,US,Film & Animation
362086,24,0.0005821847211866703,0.0020508291402638523,5.707025965939852e-05,2051,US,Entertainment
362089,10,0.0017220970347362483,0.0014462504811779914,0.0003640157102599473,340,US,Music
362092,24,0.007363442485862805,0.016219594939423678,0.0011861359372453367,7552,US,Entertainment
362095,24,0.012098124035990632,0.007234102511530904,0.0008046392465491773,3914,US,Entertainment
362096,10,0.005169296718807524,0.01339727782847601,0.0005542499091246091,3974,US,Music
362099,24,0.0022117907975877683,0.0044689656450047355,0.0003172283802689089,2012,US,Entertainment
362100,24,0.0009307064622916264,0.0045977547936550235,0.00018097956216313766,1475,US,Entertainment
362101,24,0.0008093983495666161,0.0017588714436693543,6.118343152674256e-05,578,US,Entertainment
362107,10,0.00806356224759153,0.03179150337194217,0.0015583779912399722,12820,US,Music
362112,24,0.0020295294803387757,0.0011127881211872043,0.0017732912213086981,2926,US,Entertainment
362113,24,0.001478001556960183,0.001778287788348305,0.00030848789005080284,5351,US,Entertainment
362114,24,0.017006547069508687,0.05039004586354371,0.005609338134090431,31115,US,Entertainment
362115,24,0.004358678221621655,0.005273586093764556,0.0008236626664356435,1591,US,Entertainment
362118,10,0.0013883654613944057,0.006644486907060015,0.00029974739983269674,4792,US,Music
362119,24,0.004419124994218726,0.002170711708786181,0.000763507527875737,1057,US,Entertainment
362121,24,0.0025729285824161252,0.004281927462317595,0.00109513200968035,5053,US,Entertainment
362124,24,0.0018003490116845506,0.009075983281992836,0.0002519317768748223,5499,US,Entertainment
362125,10,0.028242043227168438,0.10846166082424699,0.011319963125414209,79728,US,Music
362127,24,0.014467589469650235,0.06306375312242433,0.003200047712793661,30299,US,Entertainment
362128,24,0.0009861925575023126,0.0018580907462948182,0.00027146934324470646,1244,US,Entertainment
362132,10,0.0010539767042962468,0.004461840380902369,0.0001233951560203211,2702,US,Music
362133,24,0.0018892266371086299,0.003925307993994115,0.00019383322424858777,1413,US,Entertainment
362134,1,0.003343557801354762,0.004134256363796034,0.0004894674522139405,1976,US,Film & Animation
362136,10,0.0018580869623469865,0.0019063644105883563,0.0001866351734807357,375,US,Music
362139,24,0.007836068315028782,0.014223452201145494,0.0025702182706066052,21726,US,Entertainment
362140,10,0.0070352816637169755,0.015893079711932698,0.000980477343878135,3327,US,Music
362141,10,0.0008240660314683373,0.001301251356694818,0.00013573467162235323,306,US,Music
362144,1,0.008088594117764903,0.04243931991491722,0.0021712405994742338,21520,US,Film & Animation
362145,24,0.0005538480882530417,0.0014601447461776076,0.00036350156377652933,1684,US,Entertainment
362146,10,0.014601871661693485,0.0479480397240599,0.002273041603190999,15115,US,Music
362149,24,0.006759295107529572,0.03804766338542317,0.0017727770748252802,17305,US,Entertainment
362153,24,0.010930953907286612,0.02763889945308254,0.002108000582013819,13552,US,Entertainment
362156,1,0.012456543576895017,0.00833353076252617,0.0008611953597251579,4427,US,Film & Animation
362157,24,0.008313885660319924,0.019106930085305444,0.0015933399521123966,10281,US,Entertainment
362158,10,0.004214660759095055,0.022245430790795655,0.0014318979563191431,10797,US,Music
362160,10,0.0016637843427242027,0.014969645484265904,0.0003717279075112174,6531,US,Music
362163,24,0.004724769617344394,0.011758467084931544,0.0004056615754168057,2707,US,Entertainment
362167,10,0.0003981238039741456,0.0015119810425223293,0.0001424185759067873,809,US,Music
362168,24,0.00169223639502722,0.014167162614736791,0.0002668420248939444,4295,US,Entertainment
362170,10,0.0023495096602420044,0.012323322396646708,0.0004236567023364359,4253,US,Music
362172,24,0.0020369657854236857,0.003370428052022266,0.0006406265183388338,2380,US,Entertainment
